Date,STRESS_INDEX,Z_VOL_RATIO,Z_VOL_FXI_30D
2015-01-02,,,
2015-01-05,,,
2015-01-06,,,
2015-01-07,,,
2015-01-08,,,
2015-01-09,,,
2015-01-12,,,
2015-01-13,,,
2015-01-14,,,
2015-01-15,,,
2015-01-16,,,
2015-01-20,,,
2015-01-21,,,
2015-01-22,,,
2015-01-23,,,
2015-01-26,,,
2015-01-27,,,
2015-01-28,,,
2015-01-29,,,
2015-01-30,,,
2015-02-02,,,
2015-02-03,,,
2015-02-04,,,
2015-02-05,,,
2015-02-06,,,
2015-02-09,,,
2015-02-10,,,
2015-02-11,,,
2015-02-12,,,
2015-02-13,,,
2015-02-17,-0.4954317255585218,-0.68194779112395,-0.3089156599930935
2015-02-18,-0.43445790578290283,-0.5566629700280687,-0.3122528415377369
2015-02-19,-0.4434606613677015,-0.5419554075645256,-0.3449659151708774
2015-02-20,-0.5316440082504148,-0.6084500824583401,-0.45483793404248946
2015-02-23,-0.4642735526616817,-0.47920129041818477,-0.44934581490517866
2015-02-24,-0.42196473646293053,-0.4157745632998057,-0.42815490962605535
2015-02-25,-0.4100323025034531,-0.38227792553343853,-0.43778667947346767
2015-02-26,-0.4166583704460002,-0.3860985809992282,-0.4472181598927721
2015-02-27,-0.43454523277889856,-0.39579051854334485,-0.4732999470144523
2015-03-02,-0.41914189137382984,-0.3505951695009032,-0.48768861324675644
2015-03-03,-0.2511711599507616,-0.1421422685380303,-0.3602000513634929
2015-03-04,-0.23567908451234537,-0.13598712866457552,-0.3353710403601152
2015-03-05,-0.4286711231596435,-0.33879499539747576,-0.5185472509218112
2015-03-06,-0.49742130096642856,-0.4183135273714053,-0.5765290745614517
2015-03-09,-0.4524901392390657,-0.36391931524395305,-0.5410609632341784
2015-03-10,-0.4387763705098176,-0.4242547486588978,-0.4532979923607374
2015-03-11,-0.4461734525097574,-0.3852542965401382,-0.5070926084793765
2015-03-12,-0.4693631988192615,-0.3982469002592536,-0.5404794973792694
2015-03-13,-0.4675034595397063,-0.39052463065680415,-0.5444822884226084
2015-03-16,-0.5479782608995651,-0.46643306409557594,-0.6295234577035542
2015-03-17,-0.5724070450860872,-0.46194316967540405,-0.6828709204967702
2015-03-18,-0.5769787027510387,-0.4486456567186788,-0.7053117487833985
2015-03-19,-0.5958745340837093,-0.47182043817874364,-0.7199286299886749
2015-03-20,-0.5869291012601439,-0.45522759920636896,-0.7186306033139187
2015-03-23,-0.7174260939132111,-0.5977399470709018,-0.8371122407555204
2015-03-24,-0.7165804914085482,-0.6007317998808464,-0.83242918293625
2015-03-25,-0.7211566381649214,-0.6398809516343772,-0.8024323246954655
2015-03-26,-0.7223858257157685,-0.6425659071726679,-0.802205744258869
2015-03-27,-0.6907809339467896,-0.5831729862592165,-0.7983888816343626
2015-03-30,-0.4231322614818167,-0.33256961330919843,-0.513694909654435
2015-03-31,-0.43024792080504526,-0.3607183754204302,-0.49977746618966024
2015-04-01,-0.37759878517155876,-0.3073470943653626,-0.4478504759777549
2015-04-02,-0.3704988665284677,-0.3046701904456741,-0.4363275426112613
2015-04-06,-0.3566779834689707,-0.2929348276706364,-0.420421139267305
2015-04-07,-0.38099057062614883,-0.3201541684342127,-0.441826972818085
2015-04-08,0.19289449699567457,0.2863728184283445,0.09941617556300464
2015-04-09,0.33636264582977515,0.42952617249952074,0.2431991191600296
2015-04-10,0.33795603395537926,0.41955977602135613,0.2563522918894024
2015-04-13,0.33441752116922646,0.4125181701371474,0.2563168722013055
2015-04-14,0.3695902121360044,0.4639891078222041,0.2751913164498047
2015-04-15,0.21543488749344575,0.29959875487974197,0.13127102010714956
2015-04-16,0.1591300649715312,0.24702152099115562,0.07123860895190681
2015-04-17,0.4295539173776307,0.4820135168272796,0.3770943179279818
2015-04-20,0.4386625211493981,0.5390533481701979,0.33827169412859825
2015-04-21,0.4704095588454076,0.5769905762084242,0.3638285414823909
2015-04-22,0.47050270702673325,0.6964848220598412,0.24452059199362536
