country,indicator,year,value
CHN,GDP_USD,2024,18743803170827.2
CHN,GDP_USD,2023,18270356654533.2
CHN,GDP_USD,2022,18316765021690.2
CHN,GDP_USD,2021,18201698719564.0
CHN,GDP_USD,2020,14996414166715.1
CHN,GDP_USD,2019,14560167101283.4
CHN,GDP_USD,2018,14147765772963.8
CHN,GDP_USD,2017,12537559062282.9
CHN,GDP_USD,2016,11456024084962.0
CHN,GDP_USD,2015,11280814787468.9
CHN,GDP_USD,2014,10674533168257.4
CHN,GDP_USD,2013,9743124247267.24
CHN,GDP_USD,2012,8673664713189.24
CHN,GDP_USD,2011,7671757207851.29
CHN,GDP_USD,2010,6192564874453.29
CHN,Inflation_Pct,2024,0.218128938439177
CHN,Inflation_Pct,2023,0.234836828893051
CHN,Inflation_Pct,2022,1.97357555739051
CHN,Inflation_Pct,2021,0.981015135544882
CHN,Inflation_Pct,2020,2.41942189457782
CHN,Inflation_Pct,2019,2.89923416358227
CHN,Inflation_Pct,2018,2.07479039965576
CHN,Inflation_Pct,2017,1.59313600071436
CHN,Inflation_Pct,2016,2.00000182191943
CHN,Inflation_Pct,2015,1.43702380935655
CHN,Inflation_Pct,2014,1.92164162788521
CHN,Inflation_Pct,2013,2.62105001748115
CHN,Inflation_Pct,2012,2.61952432645541
CHN,Inflation_Pct,2011,5.55389892257493
CHN,Inflation_Pct,2010,3.17532475269199
CHN,FDI_Pct_GDP,2024,0.0989988051182737
CHN,FDI_Pct_GDP,2023,0.280991103634816
CHN,FDI_Pct_GDP,2022,1.03841365474349
CHN,FDI_Pct_GDP,2021,1.8903454142588
CHN,FDI_Pct_GDP,2020,1.68770756292082
CHN,FDI_Pct_GDP,2019,1.28549226847992
CHN,FDI_Pct_GDP,2018,1.66361992284408
CHN,FDI_Pct_GDP,2017,1.32468971748482
CHN,FDI_Pct_GDP,2016,1.52539470315394
CHN,FDI_Pct_GDP,2015,2.14957284731563
CHN,FDI_Pct_GDP,2014,2.51155883670463
CHN,FDI_Pct_GDP,2013,2.98598708261986
CHN,FDI_Pct_GDP,2012,2.78099138181613
CHN,FDI_Pct_GDP,2011,3.65069190228423
CHN,FDI_Pct_GDP,2010,3.93541996731512
USA,GDP_USD,2024,28750956130731.2
USA,GDP_USD,2023,27292170793214.4
USA,GDP_USD,2022,25604848907611.0
USA,GDP_USD,2021,23315080560000.0
USA,GDP_USD,2020,21060473613000.0
USA,GDP_USD,2019,21380976119000.0
USA,GDP_USD,2018,20533057312000.0
USA,GDP_USD,2017,19477336549000.0
USA,GDP_USD,2016,18695110842000.0
USA,GDP_USD,2015,18206020741000.0
USA,GDP_USD,2014,17550680174000.0
USA,GDP_USD,2013,16843190993000.0
USA,GDP_USD,2012,16253972230000.0
USA,GDP_USD,2011,15599728123000.0
USA,GDP_USD,2010,15048964444000.0
